Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
7,99,1,9,1
4,82,0,4,2
8,51,1,7,2
5,52,1,5,2
7,75,0,8,5
3,78,0,9,6
7,73,1,5,6
8,45,1,4,6
5,77,0,8,2
4,89,0,4,0
8,91,0,4,5
8,79,0,6,2
3,47,0,9,2
6,47,0,4,2
5,79,0,7,8
2,72,0,4,3
8,73,1,8,4
6,83,1,7,2
2,54,1,4,9
5,75,0,7,0
1,99,1,4,3
6,96,0,9,0
9,74,1,7,6
1,85,0,5,6
3,61,0,6,3
7,62,1,7,4
4,79,0,8,9
9,84,1,6,6
3,94,1,6,5
5,90,1,4,3
3,61,1,7,3
7,44,1,9,1
5,70,1,6,9
9,52,1,8,1
7,67,1,9,3
2,97,1,9,4
4,59,0,8,3
9,72,0,8,2
2,55,1,4,1
9,68,0,5,3
5,62,0,7,4
2,63,1,6,0
4,73,1,7,0
7,46,0,9,5
8,77,1,6,4
3,76,1,4,3
1,43,1,7,0
4,73,0,4,6
2,81,1,4,3
8,61,0,7,2
4,44,1,7,6
2,89,1,6,1
6,81,0,9,9
6,62,1,9,0
4,93,0,8,3
6,99,0,4,7
2,54,1,9,5
2,70,1,5,8
4,98,0,6,0
8,48,0,6,0
7,82,1,8,4
9,97,1,8,5
8,92,1,4,7
5,64,1,6,2
2,64,1,6,5
5,88,0,5,2
8,60,0,4,7
9,48,0,4,3
9,94,0,9,1
1,87,1,8,8
9,77,0,9,9
7,61,1,4,7
9,82,1,5,5
8,62,1,4,2
1,88,1,9,1
8,43,1,7,3
8,68,0,7,3
3,54,1,5,0
1,40,1,8,8
8,93,1,6,9
3,69,0,4,7
3,68,1,9,6
1,59,1,8,5
5,72,1,9,2
7,80,0,8,3
9,83,1,4,1
7,75,0,6,6
9,99,0,4,1
8,61,1,6,9
2,52,0,9,0
1,46,0,5,5
7,47,1,6,3
7,67,1,8,7
8,84,1,5,0
5,82,1,9,8
3,48,0,7,5
8,64,0,5,1
6,95,1,6,7
3,55,1,5,4
1,49,1,9,4
3,50,0,5,4
5,70,1,9,6
3,51,0,7,6
1,99,0,6,9
5,70,0,8,6
7,53,0,5,9
7,90,1,4,1
9,83,1,8,7
3,71,1,5,0
7,89,0,8,1
1,92,0,4,6
4,56,1,8,3
4,74,0,8,9
5,40,0,4,9
7,68,0,4,8
7,90,1,4,8
4,43,1,7,2
7,62,1,9,2
3,67,0,9,8
6,55,1,4,9
2,51,1,9,7
9,92,1,8,0
5,60,0,4,5
6,84,0,5,6
4,56,0,4,7
7,79,0,4,1
9,52,0,9,0
7,91,1,6,3
1,97,1,8,0
1,71,0,9,1
9,76,0,8,2
9,89,1,5,3
4,54,0,7,5
9,51,0,6,7
3,88,0,5,8
7,96,0,5,3
6,54,0,8,0
8,73,1,6,4
9,45,1,8,4
5,56,0,7,8
1,87,0,8,5
3,88,1,4,4
8,96,0,8,9
6,59,1,4,9
8,48,0,5,4
9,98,1,7,7
4,44,1,9,0
1,62,0,4,4
1,72,0,7,0
4,77,1,8,6
7,95,0,9,6
2,53,1,8,9
3,56,0,5,7
1,96,0,8,6
5,58,0,4,8
1,72,1,5,7
8,40,1,7,7
1,52,0,5,2
1,85,1,7,9
2,66,0,6,3
2,45,1,4,3
6,98,0,4,0
7,45,1,7,5
5,72,1,8,1
1,69,1,9,8
1,85,1,8,0
3,74,1,6,0
2,62,1,7,9
5,49,0,6,5
6,90,0,7,0
7,58,1,6,2
4,90,0,7,9
7,67,1,4,1
8,62,0,6,8
1,43,0,6,4
6,59,0,7,5
8,58,0,5,1
5,81,1,5,7
4,66,0,4,5
2,96,0,8,7
6,73,0,8,7
6,43,1,4,0
1,95,0,8,6
9,77,1,9,1
6,46,1,9,7
3,87,0,9,1
4,46,1,9,3
4,89,0,7,1
3,91,0,5,6
3,65,0,4,4
3,65,0,7,8
4,93,0,9,4
7,58,0,4,7
4,48,0,5,1
9,59,1,8,2
1,81,1,7,5
8,84,0,5,6
7,89,0,4,9
2,55,1,6,7
8,93,0,7,2
1,56,1,4,6
9,61,1,4,7
9,52,0,5,9
2,51,0,4,5
7,49,1,7,3
3,40,1,9,5
7,71,0,7,8
9,69,0,4,2
4,47,1,5,1
1,60,1,7,4
